outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
firearm_suicide_rate_per_100k,Firearm Suicide,2022,2,3,21,0.6929858307527716,0.3294689718655457,0.36351685888722596
firearm_suicide_rate_per_100k,Firearm Suicide,2022,3,3,21,0.9702796166310996,0.4555886917174998,0.5146909249135998
firearm_suicide_rate_per_100k,Firearm Suicide,2022,5,3,21,1.0698773286517689,0.5411861344562849,0.5286911941954839
firearm_suicide_rate_per_100k,Firearm Suicide,2023,2,3,21,0.12584053357974767,0.040055326172850236,0.08578520740689743
firearm_suicide_rate_per_100k,Firearm Suicide,2023,3,3,21,0.5003473801078346,0.2291167604600064,0.27123061964782824
firearm_suicide_rate_per_100k,Firearm Suicide,2023,5,3,21,0.6170454808563903,0.39539510107684883,0.2216503797795415
firearm_suicide_rate_per_100k,Firearm Suicide,2024,2,2,21,-0.08334767126536491,0.016925984194172017,-0.10027365545953693
firearm_suicide_rate_per_100k,Firearm Suicide,2024,3,2,21,-0.009938733277266465,0.03718131054930485,-0.04712004382657131
firearm_suicide_rate_per_100k,Firearm Suicide,2024,5,2,21,0.20568702479356382,0.2868940023858402,-0.08120697759227635
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2003,2,1,21,2.1391333776592694,0.2001247049932422,1.9390086726660272
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2003,3,1,21,1.445239431504561,0.3067384347872393,1.1385009967173216
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2003,5,1,21,1.6307476082120074,0.5373296732648569,1.0934179349471504
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2,1,21,0.41273939764962986,0.4076315183105592,0.005107879339070642
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,3,1,21,0.30309895149982324,0.5784794197802086,-0.2753804682803853
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,5,1,21,0.5297799164892671,0.9462779083742712,-0.416497991885004
