outcome,outcome_label,cohort_att_w2,cohort_att_w3,cohort_att_w5,event_post_mean_coef,event_pretrend_min_p,pretrend_flag_p05,not_yet_post_mean_att,not_yet_pre_mean_att,not_yet_dynamic_rows,interpretation_flag
firearm_suicide_rate_per_100k,Firearm Suicide,0.6007566896036898,0.5770370717159119,0.6411790653439955,0.6513652631909038,1.1744368317743956e-07,True,0.3870833406640167,-0.35215392441296556,10,sensitivity_only_pretrend_signal
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.2699585121851543,0.23880140781769077,0.24068804487568954,0.2091639010511245,0.07416284950723855,False,0.07680738482578511,-0.1552063306001637,10,positive_post_adoption_sensitivity
total_suicide_rate_per_100k,Total Suicide,0.8707152017888448,0.8158384795336032,0.8818671102196843,0.8605291642420291,3.0539989906701727e-06,True,0.46389072548980237,-0.5073602550131291,10,sensitivity_only_pretrend_signal
firearm_homicide_rate_per_100k,Firearm Homicide,-0.003783187925566243,-0.10662173622523706,-0.10649972156171267,-0.32643875236955705,0.2472864245851833,False,-0.15666668831740635,0.0915019271762338,10,no_positive_post_adoption_sensitivity
total_firearm_rate_per_100k,Total Firearm Deaths,0.3819162218945117,0.4353968689084796,0.49338335101687064,0.3810125737468077,0.0005204369436917856,True,0.19979598274418642,-0.258782964780238,10,sensitivity_only_pretrend_signal
