window,n_adopters,n_controls,mean_A_adopters,mean_A_controls,diff,t,df,p,ci_low,ci_high
2y_pre_vs_2y_post,16,22,0.7550120325945786,0.8063166715254966,-0.05130463893091797,-0.17193081357678533,29.69608578815721,0.8646582531571445,-0.6609861339433719,0.558376856081536
3y_pre_vs_3y_post,10,21,1.1921423905461626,0.9033796060015346,0.288762784544628,0.701234033103023,13.413742568135381,0.495143302511413,-0.5980790809131264,1.1756046500023825
5y_pre_vs_5y_post,6,22,1.595385685860559,1.040610548165567,0.5547751376949921,0.5824731040435278,5.659258245853551,0.582690662117883,-1.810221043749443,2.9197713191394272
