outcome,outcome_label,baseline_coef,baseline_p,twfe_specs_positive,twfe_specs_p05,leave_one_min_coef,leave_one_max_coef,leave_one_sign_changes,placebo_abs_median,placebo_abs_p95,observed_exceeds_placebo_p95,interpretation_flag
firearm_suicide_rate_per_100k,Firearm Suicide,1.390765250743391,3.6347409538281834e-10,6,5,1.2645271862088123,1.48130925448145,0,0.08134225479212664,0.33767991836947486,True,stable_positive
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.41472416954943697,0.002880495183618377,6,5,0.3712350674875432,0.4722713824821251,0,0.11965784996061118,0.235374928752732,True,stable_positive
total_suicide_rate_per_100k,Total Suicide,1.8054894202928284,7.700844572047763e-10,6,6,1.656029734994487,1.9535806369635753,0,0.13684068546295602,0.3276389192415944,True,stable_positive
firearm_homicide_rate_per_100k,Firearm Homicide,-0.23361254188952718,0.4889639445919025,0,0,-0.39860909170215175,-0.04919857440048564,0,0.10111588859239089,0.2726213712316356,False,sensitivity_required
total_firearm_rate_per_100k,Total Firearm Deaths,1.2714840603254625,0.008341571698382151,6,4,1.058143657297824,1.5316705248849682,0,0.17989358313002535,0.40593647014579776,True,stable_positive
