outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,ci_low,ci_high,nobs,r2,interpretation_scope
firearm_suicide_rate_per_100k,Firearm Suicide,covariate_balanced_twfe,0.8887693817446896,0.3043085384449064,0.00349336451008385,0.29232464639267297,1.4852141170967061,1222.0,0.914245364162952,covariate_balanced_comparison_sensitivity
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,covariate_balanced_twfe,0.4099834933849651,0.1602556453697827,0.010518251994907227,0.09588242846019102,0.7240845583097392,1222.0,0.9032433913901702,covariate_balanced_comparison_sensitivity
total_suicide_rate_per_100k,Total Suicide,covariate_balanced_twfe,1.2987528751296549,0.4061638775571921,0.0013857249760435802,0.5026716751175584,2.094834075141751,1222.0,0.9347144996632761,covariate_balanced_comparison_sensitivity
firearm_homicide_rate_per_100k,Firearm Homicide,covariate_balanced_twfe,-0.7982212939252332,0.452670024577409,0.07783938974956436,-1.6854545420969549,0.08901195424648845,1142.0,0.8919918929535244,covariate_balanced_comparison_sensitivity
total_firearm_rate_per_100k,Total Firearm Deaths,covariate_balanced_twfe,0.14117192250135252,0.7490580628232086,0.8505114228629043,-1.3269818806321363,1.6093257256348414,1222.0,0.9083987980896042,covariate_balanced_comparison_sensitivity
