outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3053397641930993,0.14808716683338077,0.03921800675512899,1274.0,0.8618212240067095,positive_p05,Florida
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.31122805580873086,0.14879084482166874,0.03646400955700969,1274.0,0.8552510194907268,positive_p05,Georgia
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.30842936824602285,0.15009361950303876,0.03988738393454591,1274.0,0.8601937142777388,positive_p05,Idaho
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3133547097351502,0.14800858775284315,0.03424807768233877,1274.0,0.8590932608087356,positive_p05,Indiana
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3143123075719242,0.1477582858422172,0.03340297342697098,1274.0,0.8596215604182302,positive_p05,Iowa
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.2798525493686327,0.14695133941962227,0.056859509711150724,1274.0,0.8592605645976992,not_p05,Kansas
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3088779490103384,0.1486402486079906,0.0377071827532905,1274.0,0.8571214086755923,positive_p05,Kentucky
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.31560523419224495,0.14820521762471045,0.033211675097949936,1274.0,0.8542851661313293,positive_p05,Louisiana
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.29264901709317553,0.1502935585915465,0.05151283509038373,1274.0,0.8603724736523387,not_p05,Maine
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.37048992541854353,0.13813966243605058,0.007318448793516722,1274.0,0.8549027216601154,positive_p05,Mississippi
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.33431141943899845,0.1484172951814442,0.02429007090732039,1274.0,0.8589289304927055,positive_p05,Missouri
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.31122908055381815,0.14891156137655306,0.03661543670667202,1274.0,0.8578687370165683,positive_p05,Montana
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3253629594318616,0.14729852362240883,0.02718384048620571,1274.0,0.8596818583727879,positive_p05,Nebraska
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.31440575113958036,0.15055099574422937,0.036764730035932655,1274.0,0.8600442532006121,positive_p05,New Hampshire
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.322356399701262,0.1487373132863694,0.030213000595619398,1274.0,0.8614674840685557,positive_p05,North Dakota
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3178811426202342,0.1479158019861965,0.031628996093685094,1274.0,0.8589388128631166,positive_p05,Ohio
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.29434631434284747,0.14667682459975848,0.04477440332568783,1274.0,0.8586539591765495,positive_p05,Oklahoma
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3065880488531644,0.14810585475189053,0.038446698798187046,1274.0,0.856441226882831,positive_p05,South Carolina
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.26885260815545536,0.1435332933260322,0.061054196053695206,1274.0,0.8618030577963478,not_p05,South Dakota
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3307574008935108,0.14726294787769403,0.02470191151976753,1274.0,0.8581212337365918,positive_p05,Tennessee
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.3107363541916749,0.148021719345496,0.035793821004112616,1274.0,0.8572143581331609,positive_p05,Texas
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.34346489736488306,0.14400239488735816,0.0170729370123425,1274.0,0.858348052838143,positive_p05,Utah
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.2902361317491631,0.14751497917930925,0.04912527564244903,1274.0,0.8603618063020733,positive_p05,West Virginia
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,leave_one_adopter_out,0.2848965300111274,0.1529655045359053,0.06253423095166465,1274.0,0.8659518057432454,not_p05,Wyoming
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5899571559513677,0.3210016022282809,7.303559487493792e-07,1274.0,0.9329450467407081,positive_p05,Alabama
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.602159823522942,0.32874127475282855,1.0957204413519088e-06,1274.0,0.9326022195652462,positive_p05,Alaska
