GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.37,0.45,0.32,0.48,0.33,0.45,0.32,0.33,0.40,0.51,0.12,0.33,0.14,0.17,0.08,0.05,0.09,0.00,0.04,0.18,0.11,0.25,0.15,0.20,0.15,0.20
 "56000","Wyoming",7,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.07,0.05,0.00,-0.09,0.04,-0.02,-0.03,0.02,0.05,-0.01,0.00,0.09,0.01,0.01,-0.01,0.07,-0.06,0.00,0.02,0.04,0.00,0.00,0.09,0.05,0.05,0.06
 "56000","Wyoming",7,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.22,0.20,-0.18,0.29,0.19,0.25,0.17,0.71,0.01,0.14,-0.19,-0.01,0.16,0.22,0.12,0.11,0.18,0.02,0.08,0.05,0.14,-0.16,0.71,0.15,0.13,0.05
 "56000","Wyoming",7,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.28,0.29,(D),0.35,(D),0.00,0.17,0.49,0.16,-0.11,-0.02,0.17,0.03,0.10,-0.03,-0.02,0.04,-0.08,0.04,0.13,0.11,-0.02,0.08,0.18,0.08,0.13
 "56000","Wyoming",7,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.88,0.93,1.37,1.31,1.45,0.92,0.89,1.09,1.65,1.31,0.70,0.55,0.23,0.52,1.07,0.54,0.42,0.08,0.07,0.27,-0.14,0.27,0.30,0.36,0.60,1.03
 "56000","Wyoming",7,SAINC11,26,"...","  Federal civilian ","Percentage points",0.08,0.23,0.13,0.10,0.23,0.23,0.06,0.08,0.11,0.09,0.11,0.04,0.03,0.00,-0.04,0.04,0.07,0.09,0.07,0.10,0.03,0.14,0.07,0.11,0.21,0.20
 "56000","Wyoming",7,SAINC11,27,"...","  Military ","Percentage points",0.04,0.05,0.08,0.24,0.23,0.09,0.11,-0.02,0.02,0.06,0.10,0.05,0.00,0.00,-0.01,-0.03,-0.04,0.05,0.03,0.06,0.08,0.07,0.04,0.02,0.05,0.08
 "56000","Wyoming",7,SAINC11,28,"...","  State and local ","Percentage points",0.76,0.66,1.16,0.97,0.99,0.60,0.72,1.02,1.52,1.15,0.48,0.46,0.19,0.52,1.13,0.52,0.39,-0.06,-0.03,0.11,-0.25,0.06,0.19,0.23,0.35,0.74
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
