GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.20,0.41,0.64,0.62,0.25,0.34,0.12,0.49,0.37,0.46,0.49,0.54,0.29,0.24,0.24,0.30,0.43,0.32,0.23,0.29,0.31,0.30,0.48,0.33,0.51,0.39
 "48000","Texas",6,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.05,0.04,0.00,0.06,0.03,-0.02,-0.01,0.04,0.04,0.01,0.04,-0.01,0.04,0.03,0.06,0.06,0.06,0.07,0.05,0.04,0.06,-0.16,0.07,0.06,0.14,0.04
 "48000","Texas",6,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.21,0.21,-0.10,0.05,0.13,0.15,0.08,0.24,0.04,0.03,0.01,0.12,0.12,0.17,0.10,0.27,0.21,0.13,0.05,0.07,0.14,-0.29,0.65,0.15,0.18,0.15
 "48000","Texas",6,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.25,0.25,-0.19,0.26,0.02,0.12,0.23,0.28,0.08,-0.10,0.08,0.22,0.07,0.21,0.08,0.21,0.05,0.02,0.02,0.12,0.12,-0.03,0.16,0.18,0.10,0.17
 "48000","Texas",6,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.71,0.86,0.82,0.94,0.75,0.47,0.56,0.78,0.70,0.73,0.67,0.62,0.06,0.15,0.37,0.39,0.49,0.37,0.31,0.36,0.26,0.42,0.34,0.30,0.64,0.66
 "48000","Texas",6,SAINC11,26,"...","  Federal civilian ","Percentage points",0.03,0.14,-0.01,0.12,0.13,0.14,0.12,0.11,0.08,0.08,0.11,0.17,0.06,0.01,-0.01,0.04,0.06,0.05,0.05,0.08,0.03,0.11,0.06,0.06,0.12,0.12
 "48000","Texas",6,SAINC11,27,"...","  Military ","Percentage points",0.04,0.06,0.07,0.17,0.18,0.07,0.11,0.13,0.10,0.12,0.08,0.00,0.03,0.01,-0.07,-0.03,0.00,-0.01,0.03,0.02,0.03,0.03,0.05,0.01,0.04,0.06
 "48000","Texas",6,SAINC11,28,"...","  State and local ","Percentage points",0.63,0.66,0.76,0.65,0.44,0.27,0.34,0.54,0.52,0.54,0.48,0.45,-0.03,0.13,0.45,0.39,0.43,0.32,0.23,0.26,0.19,0.28,0.23,0.23,0.48,0.48
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
