GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.65,0.74,0.90,0.78,0.56,0.90,0.41,0.77,0.42,0.52,0.28,0.24,0.19,0.23,0.17,0.13,0.46,0.29,0.41,0.42,0.55,0.75,0.38,0.47,0.52,0.70
 "23000","Maine",1,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.03,0.06,0.05,0.06,0.05,-0.02,-0.03,0.03,0.09,-0.03,-0.02,0.05,0.02,0.05,0.04,0.02,-0.01,0.06,0.02,0.06,0.03,-0.07,0.18,0.17,0.09,0.05
 "23000","Maine",1,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.15,0.21,-0.04,0.13,0.09,0.18,-0.03,0.09,0.01,-0.04,-0.05,0.11,0.10,0.20,0.16,0.18,0.18,0.23,0.24,0.20,0.14,-0.74,1.07,0.16,0.49,0.13
 "23000","Maine",1,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.21,0.22,-0.14,0.29,0.01,0.14,0.14,0.14,-0.12,-0.18,0.04,0.21,0.04,0.02,0.03,0.13,0.09,0.07,0.06,0.14,0.08,0.00,0.15,0.21,0.12,0.18
 "23000","Maine",1,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.73,0.72,0.81,0.82,0.86,0.65,0.50,0.65,0.47,0.38,0.19,0.12,-0.35,-0.03,0.23,0.55,0.24,0.41,0.11,0.23,0.15,0.49,0.44,0.50,0.65,0.71
 "23000","Maine",1,SAINC11,26,"...","  Federal civilian ","Percentage points",0.10,0.23,0.07,0.14,0.22,0.16,0.12,0.11,0.14,0.12,0.06,0.07,0.04,0.00,-0.05,0.10,0.16,0.15,0.11,0.13,0.12,0.18,0.09,0.13,0.24,0.22
 "23000","Maine",1,SAINC11,27,"...","  Military ","Percentage points",0.04,0.01,0.02,0.13,0.27,0.08,0.06,0.02,-0.02,0.05,0.00,-0.05,-0.08,-0.04,-0.04,-0.03,-0.02,0.01,-0.06,-0.10,-0.04,0.02,0.03,-0.01,-0.01,-0.01
 "23000","Maine",1,SAINC11,28,"...","  State and local ","Percentage points",0.60,0.48,0.72,0.55,0.37,0.41,0.32,0.52,0.36,0.22,0.13,0.10,-0.31,0.00,0.32,0.48,0.09,0.25,0.06,0.19,0.08,0.30,0.32,0.37,0.41,0.50
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
