GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.11,0.42,0.41,0.54,0.38,0.58,0.40,0.48,0.30,0.39,0.29,0.40,0.24,0.23,0.24,0.25,0.34,0.13,0.02,0.16,0.28,0.43,0.33,0.40,0.53,0.54
 "40000","Oklahoma",6,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",-0.01,0.05,-0.01,0.03,0.03,0.04,-0.01,0.06,-0.05,0.03,0.04,0.04,-0.02,0.04,0.00,0.05,0.02,0.04,0.00,0.03,0.03,-0.05,0.08,-0.02,0.10,0.04
 "40000","Oklahoma",6,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.06,0.27,0.01,0.12,0.13,0.17,0.06,0.22,-0.14,0.12,0.18,-0.06,-0.09,0.05,0.11,0.13,0.12,0.02,0.04,0.08,0.20,-0.09,0.78,-0.29,0.06,0.10
 "40000","Oklahoma",6,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",-0.01,0.28,-0.03,0.29,-0.05,0.10,0.11,0.21,-0.01,-0.10,0.01,0.21,0.05,0.16,0.01,0.12,0.03,0.01,0.05,0.11,0.06,0.04,0.11,0.17,0.08,0.12
 "40000","Oklahoma",6,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.77,1.03,0.92,0.88,0.68,0.73,0.85,0.90,0.95,0.71,0.50,0.66,0.01,-0.06,0.40,0.33,0.35,0.18,0.20,0.48,0.68,0.30,0.25,0.35,0.80,0.71
 "40000","Oklahoma",6,SAINC11,26,"...","  Federal civilian ","Percentage points",0.15,0.39,0.01,0.19,0.20,0.18,0.11,0.11,0.13,0.01,0.18,0.22,0.06,-0.03,-0.09,0.09,0.09,0.10,0.09,0.11,0.08,0.11,0.14,0.12,0.23,0.16
 "40000","Oklahoma",6,SAINC11,27,"...","  Military ","Percentage points",0.03,0.05,0.10,0.24,0.29,0.10,0.10,0.14,0.04,0.08,0.09,0.14,-0.07,-0.06,-0.06,-0.08,-0.03,0.05,0.06,0.05,0.04,0.07,0.08,0.02,0.06,0.06
 "40000","Oklahoma",6,SAINC11,28,"...","  State and local ","Percentage points",0.60,0.59,0.80,0.45,0.19,0.45,0.64,0.65,0.78,0.62,0.23,0.30,0.01,0.04,0.55,0.32,0.29,0.03,0.04,0.32,0.56,0.13,0.02,0.21,0.51,0.49
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
