GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.35,0.61,0.69,0.59,0.44,0.50,0.45,0.56,0.58,0.66,0.43,0.29,0.17,-0.03,0.22,0.19,0.38,0.37,0.34,0.41,0.41,0.40,0.36,0.38,0.46,0.57
 "33000","New Hampshire",1,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.09,0.14,0.09,0.07,0.06,0.18,0.15,0.13,0.06,-0.34,-0.07,0.24,0.06,0.05,0.05,0.08,-0.04,0.05,0.06,0.14,0.18,-0.33,0.17,0.07,-0.01,0.09
 "33000","New Hampshire",1,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.16,0.24,0.04,0.09,0.09,0.17,0.00,0.07,0.03,-0.04,0.03,0.10,0.07,0.10,0.19,0.08,0.21,0.19,0.17,0.25,0.16,-0.30,0.80,0.14,0.30,0.12
 "33000","New Hampshire",1,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.27,0.42,-0.14,0.33,-0.01,0.12,0.17,0.19,-0.09,-0.18,0.04,0.26,0.03,0.06,0.01,0.13,0.09,0.10,0.07,0.21,0.14,-0.04,0.27,0.29,0.18,0.16
 "33000","New Hampshire",1,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.51,0.48,0.73,0.58,0.86,0.49,0.40,0.44,0.47,0.43,0.30,0.33,-0.17,-0.05,0.29,0.37,0.06,0.16,0.11,0.33,0.16,0.21,0.11,0.18,0.50,0.49
 "33000","New Hampshire",1,SAINC11,26,"...","  Federal civilian ","Percentage points",0.01,0.10,0.03,0.06,0.07,0.13,0.05,0.05,0.08,0.02,-0.01,0.02,0.01,0.01,0.00,0.05,0.05,0.03,0.01,0.07,0.03,0.05,0.05,0.10,0.11,0.11
 "33000","New Hampshire",1,SAINC11,27,"...","  Military ","Percentage points",0.01,0.01,0.00,0.05,0.08,0.01,0.02,-0.02,0.00,0.04,0.05,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.01,0.01,-0.01,0.00,0.01,0.03,0.02
 "33000","New Hampshire",1,SAINC11,28,"...","  State and local ","Percentage points",0.49,0.37,0.69,0.48,0.72,0.35,0.33,0.41,0.39,0.37,0.26,0.30,-0.16,-0.05,0.29,0.33,0.02,0.13,0.09,0.24,0.12,0.17,0.06,0.08,0.36,0.35
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
