outcome,outcome_label,did_coef,did_p_value,welch_diff_2y,welch_p_2y,welch_diff_3y,welch_p_3y,welch_diff_5y,welch_p_5y,strongest_heterogeneity_signal,machine_summary
firearm_suicide_rate_per_100k,Firearm Suicide,1.2768001452766615,2.8747639269770052e-08,0.7200735254380686,0.000553257238488,0.6530416886672278,0.0004454783112303,0.7307831705285385,1.0781841163278626e-06,high_rurality,Positive post-adoption association
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.3126369813520783,0.0306398919217585,0.2227015653759401,0.2833394611901525,0.149295120338098,0.3796218911802085,0.0290300983569284,0.8731660005067128,high_gun_ownership,Positive post-adoption association
total_suicide_rate_per_100k,Total Suicide,1.5894371266287393,6.031333377124902e-07,0.94277509081401,0.0010989971145605,0.8023368090053267,0.0002218920059529,0.7598132688854673,0.002006648336937,high_rurality,Positive post-adoption association
firearm_homicide_rate_per_100k,Firearm Homicide,-0.053721896201951,0.8860313968571255,0.150072919825488,0.3889495604578931,0.2426603719308076,0.2156513906235728,0.2214642479850287,0.3702139544722295,high_baseline_firearm_suicide,No clear evidence
total_firearm_rate_per_100k,Total Firearm Deaths,1.376485221256876,0.0035640984923794,0.7768296454272026,0.0090731272796578,0.8693656800550976,0.0031750605174802,0.9623110803969036,0.0033950595997023,high_rurality,Positive post-adoption association
