outcome,outcome_label,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2
firearm_suicide_rate_per_100k,Firearm Suicide,1.2768001452766615,0.230099782817742,2.8747639269770055e-08,1300.0,0.9403119721580452
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.31263698135207835,0.1446242895431783,0.030639891921758543,1300.0,0.858796410011574
total_suicide_rate_per_100k,Total Suicide,1.5894371266287393,0.3185109979051136,6.031333377124902e-07,1300.0,0.93287799418507
firearm_homicide_rate_per_100k,Firearm Homicide,-0.053721896201951065,0.37481871326947946,0.8860313968571255,1199.0,0.8886490339739039
total_firearm_rate_per_100k,Total Firearm Deaths,1.376485221256876,0.4723100743099666,0.0035640984923794006,1300.0,0.9334210419015871
