outcome,outcome_label,firearm_law_coef,firearm_law_p,demographic_poverty_coef,demographic_poverty_p,demographic_poverty_nobs,demographic_poverty_sign_retained,demographic_poverty_p05_retained,mental_health_access_coef,mental_health_access_p,mental_health_access_nobs,mental_health_access_sign_retained,mental_health_access_p05_retained,full_phase3b2_coef,full_phase3b2_p,full_phase3b2_nobs,full_phase3b2_sign_retained,full_phase3b2_p05_retained
firearm_suicide_rate_per_100k,Firearm Suicide,0.9942334969023513,1.3029896898411e-07,0.6484720721617216,3.676088019827677e-06,1000.0,True,True,0.15875382630624024,0.6253490145706209,150.0,True,False,0.19724540515679578,0.5459363579727039,150.0,True,False
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.22906208670994435,0.10323978448378401,0.0625205091701806,0.6787490175434923,1000.0,True,False,0.14545901433238706,0.547213659829126,150.0,True,False,0.10850349588798025,0.6627893295359408,150.0,True,False
total_suicide_rate_per_100k,Total Suicide,1.2232955836122947,2.4045037528272232e-05,0.7109925813319018,0.003910308577107428,1000.0,True,True,0.30421284063862775,0.5023880301143331,150.0,True,False,0.3057489010447769,0.5085578295901291,150.0,True,False
firearm_homicide_rate_per_100k,Firearm Homicide,-0.13828063852268446,0.7075485550577836,-0.2292533715225598,0.36732460938789224,935.0,True,False,-0.13013577677936938,0.6396294923476131,148.0,True,False,-0.05193785235919135,0.8815906783345407,148.0,True,False
total_firearm_rate_per_100k,Total Firearm Deaths,0.9559096149499977,0.023609057766857018,0.4694193235712566,0.12675389052056776,1000.0,True,False,0.09387132992251601,0.800002262953435,150.0,True,False,0.23966241609793748,0.575066914347113,150.0,True,False
