outcome,outcome_label,firearm_law_coef,firearm_law_p,health_access_coef,health_access_p,health_access_nobs,health_access_sign_retained,health_access_p05_retained,overdose_coef,overdose_p,overdose_nobs,overdose_sign_retained,overdose_p05_retained,health_access_overdose_coef,health_access_overdose_p,health_access_overdose_nobs,health_access_overdose_sign_retained,health_access_overdose_p05_retained
firearm_suicide_rate_per_100k,Firearm Suicide,1.0963348570479323,2.030774431755648e-09,0.706748190461475,0.00012112250251191875,752.0,True,True,0.49164457976288856,0.05990292105737881,282.0,True,False,0.59966023117657,0.07938150010810043,235.0,True,False
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0.3298991825136937,0.011920802987232271,0.23584278589843521,0.17513327420374203,752.0,True,False,-0.10741232307646764,0.4804618850007553,282.0,False,False,-0.16764479886610295,0.3540343890080561,235.0,False,False
total_suicide_rate_per_100k,Total Suicide,1.426234039561626,8.12280973393078e-08,0.9425909763599112,2.1385951174739723e-05,752.0,True,True,0.3842322566864196,0.2036384744921341,282.0,True,False,0.43201543231046813,0.23432984674738785,235.0,True,False
firearm_homicide_rate_per_100k,Firearm Homicide,-0.3159831525549573,0.3395177560483444,-0.18132383514405914,0.5090381037414411,716.0,True,False,-0.10441857723582326,0.5804909911577117,280.0,True,False,0.10318588867543954,0.5524970366596207,233.0,False,False
total_firearm_rate_per_100k,Total Firearm Deaths,0.8630666841284029,0.04281918920930653,0.5034597713662282,0.09516625809723893,752.0,True,False,0.3157024163345723,0.32819008659698945,282.0,True,False,0.6757786761974023,0.03536455220776691,235.0,True,True
