outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,ci_lo,ci_hi,nobs,r2,crude_coef,same_direction_as_crude
firearm_suicide_ageadj_rate_per_100k,Firearm Suicide (Age-Adjusted),baseline_controls,1.4067053862045977,0.2278621159418167,6.679712216514471e-10,0.960095638958637,1.8533151334505584,1220.0,0.9429710046648496,1.3907652496853868,True
firearm_suicide_ageadj_rate_per_100k,Firearm Suicide (Age-Adjusted),firearm_law_controls,1.1012763167636122,0.19282177116548682,1.1207084435629319e-08,0.7233456452792579,1.4792069882479664,1220.0,0.9463731376388845,1.0963348570479323,True
total_suicide_ageadj_rate_per_100k,Total Suicide (Age-Adjusted),baseline_controls,1.9135028055902996,0.32749687715835574,5.132681770322172e-09,1.2716089263599224,2.5553966848206766,1222.0,0.9342967243614975,1.8054894181986552,True
total_suicide_ageadj_rate_per_100k,Total Suicide (Age-Adjusted),firearm_law_controls,1.4824303223780548,0.3052901293634432,1.1989669442807076e-06,0.8840616688257062,2.0807989759304033,1222.0,0.9372214365601338,1.426234039561626,True
total_firearm_ageadj_rate_per_100k,Total Firearm Deaths (Age-Adjusted),baseline_controls,1.2295346589848297,0.5101744420766668,0.015951298953005698,0.22959275251456268,2.229476565455097,1222.0,0.9289468208049472,1.2714840588233816,True
total_firearm_ageadj_rate_per_100k,Total Firearm Deaths (Age-Adjusted),firearm_law_controls,0.8107472354629277,0.460337373249607,0.07820417078237774,-0.09151401610630194,1.7130084870321574,1222.0,0.9327582034976704,0.8630666841284029,True
firearm_homicide_ageadj_rate_per_100k,Firearm Homicide (Age-Adjusted),baseline_controls,-0.22962213316427507,0.4261763658716344,0.5900276046269429,-1.0649278102726785,0.6056835439441283,1037.0,0.8840158361513181,-0.2336125411890566,True
firearm_homicide_ageadj_rate_per_100k,Firearm Homicide (Age-Adjusted),firearm_law_controls,-0.2986841659796295,0.41840919250191094,0.4753158528204819,-1.1187661832833748,0.521397851324116,1037.0,0.885005048932292,-0.3159831525549573,True
