outcome_label,baseline_coef,baseline_se,baseline_p,law_controls_coef,law_controls_se,law_controls_p,crude_coef,same_direction_as_crude,nobs
Firearm Suicide (Age-Adjusted),1.4067053862045977,0.2278621159418167,6.679712216514471e-10,1.1012763167636122,0.19282177116548682,1.1207084435629319e-08,1.3907652496853868,True,1220.0
Total Suicide (Age-Adjusted),1.9135028055902996,0.32749687715835574,5.132681770322172e-09,1.4824303223780548,0.3052901293634432,1.1989669442807076e-06,1.8054894181986552,True,1222.0
Total Firearm Deaths (Age-Adjusted),1.2295346589848297,0.5101744420766668,0.015951298953005698,0.8107472354629277,0.460337373249607,0.07820417078237774,1.2714840588233816,True,1222.0
Firearm Homicide (Age-Adjusted),-0.22962213316427507,0.4261763658716344,0.5900276046269429,-0.2986841659796295,0.41840919250191094,0.4753158528204819,-0.2336125411890566,True,1037.0
