term,coef,se,p_value,odds_ratio
Intercept,23.765274206858688,6901131.947330773,0.9999972523427291,20947270886.023037
rep_vote_share_baseline,0.02902276103250192,15574239.676650984,0.9999999985131336,1.0294480255084402
gun_ownership_baseline,0.7499827077661098,22792655.684692293,0.9999999737459455,2.1169634092697542
rurality,3.1644230267125506,8144014.973555793,0.9999996899754869,23.675080202522523
baseline_firearm_suicide,0.5063478925307232,1212659.5624864532,0.9999996668420567,1.659220464761388
