State,State Code,Year,cancer_deaths,cancer_population,cancer_rate_per_100k,cardiovascular_deaths,cardiovascular_population,cardiovascular_rate_per_100k,motor_vehicle_deaths,motor_vehicle_population,motor_vehicle_rate_per_100k
Arizona,4,2010,10678,6392017,167.05212141957696,13192,6392017,206.38242983396322,792,6392017,12.39045515679949
Arizona,4,2011,10690,6482505,164.9053876549266,14133,6482505,218.01757191085855,866,6482505,13.35903327494541
Arizona,4,2012,11085,6553255,169.15258142709234,14267,6553255,217.70860435005198,811,6553255,12.375529412482804
Arizona,4,2013,11347,6626624,171.2334968756338,14284,6626624,215.55470779691137,859,6626624,12.962860123043045
Arizona,4,2014,11455,6731484,170.17050029384308,14489,6731484,215.24228535639392,856,6731484,12.716363880535107
Arizona,4,2015,11776,6828065,172.4646733737889,15538,6828065,227.56080968766406,920,6828065,13.473802607327258
Arizona,4,2016,11876,6931071,171.34437087717035,16098,6931071,232.25847780234827,993,6931071,14.326790188702438
Arizona,4,2017,12008,7016270,171.14506710830685,16691,7016270,237.88993297008238,1017,7016270,14.4948811833068
Arizona,4,2018,12113,7171646,168.9012536313142,16812,7171646,234.4231714727693,1041,7171646,14.51549616364221
Arizona,4,2019,12503,7278717,171.77477843966184,17086,7278717,234.7391717523844,977,7278717,13.422695235987332
Arizona,4,2020,12676,7421401,170.80332945221528,19223,7421401,259.0211740343905,1041,7421401,14.027001101274545
Arizona,4,2021,12813,7276316,176.09185747292997,19757,7276316,271.5247661041659,1369,7276316,18.814466001751438
Arizona,4,2022,13171,7359197,178.97333092183834,19798,7359197,269.0239166039447,1366,7359197,18.56180776245017
Arizona,4,2023,13040,7431344,175.47296962702842,19736,7431344,265.5778012698645,1337,7431344,17.99136199320069
Arizona,4,2024,13439,7582384,177.23977049962122,19975,7582384,263.4395725671504,1213,7582384,15.997607085053989
Arkansas,5,1999,6137,2651860,231.42247328290333,11260,2651860,424.6076338871584,649,2651860,24.47338848958844
Arkansas,5,2000,6090,2673400,227.79980549113486,11156,2673400,417.29632677489343,680,2673400,25.43577466896087
Arkansas,5,2001,6092,2691571,226.33621777021673,11183,2691571,415.48225924562274,661,2691571,24.558148382487403
Arkansas,5,2002,6282,2705927,232.15703897407434,11218,2705927,414.57142044112794,693,2705927,25.610446992842007
