State,Year,share_age_under18,share_age_18_34,share_age_35_64,share_age_65plus,share_white_nonhispanic,share_black_nonhispanic,share_asian_nonhispanic,share_hispanic,poverty_rate,mental_health_provider_count,mental_health_access_population,mental_health_provider_rate_per_100k,phase3b2_demographic_poverty_complete,phase3b2_full_complete
Alabama,2005,0.24429287464125932,0.2286441544004613,0.39530636427593735,0.13175660668234201,0.6880812200958246,0.2598806732453573,0.009269979791260239,0.027314513420156877,16.9,,,,True,False
Alabama,2006,0.24300635496235565,0.22728570283611013,0.3972641062903477,0.1324438359111865,0.6841801683783105,0.26039208197225266,0.009697598672364393,0.02977804402307981,16.6,,,,True,False
Alabama,2007,0.24214126740911307,0.22629848229342328,0.39843564085224403,0.13312460944521962,0.6807763587026305,0.26042513760368424,0.010088939488619341,0.03223992261665283,16.6,,,,True,False
Alabama,2008,0.24127284819696299,0.22588225270367593,0.3978478260593115,0.13499707304004954,0.6770673005799238,0.26071180444431635,0.010463934809120246,0.03469729808321213,15.9,,,,True,False
Alabama,2009,0.23966571233168657,0.22621404482361895,0.39770799871709134,0.13641224412760317,0.673688055624096,0.260620462057303,0.010980386881880345,0.03709968477941495,17.5,,,,True,False
Alabama,2010,0.23622356746102813,0.22783561877421016,0.39784600654025953,0.13809480722450218,0.6707613118718312,0.2608520392181529,0.011302416059390188,0.03890720951921423,18.9,,,,True,False
Alabama,2011,0.2341760453954715,0.22837075274391763,0.39742250007240987,0.140030701788201,0.6688538964536663,0.26127005050354557,0.011656010780424286,0.039547878974026,19.1,,,,True,False
Alabama,2012,0.2318931769079913,0.22881172558782023,0.39434831218949795,0.14494678531469055,0.6667812944130602,0.26208554386297167,0.012324559326919164,0.03959121918237191,19.0,,,,True,False
Alabama,2013,0.22979076334330625,0.22905123123194,0.3921772740457148,0.14898073137903897,0.6645540726956752,0.2630417585129525,0.012747198235391912,0.03998504372908032,18.9,,,,True,False
Alabama,2014,0.22837461860767042,0.22822054364503772,0.3901940167280798,0.15321082101921207,0.662689839045363,0.26365200207608785,0.013112275003567889,0.040413490935910394,19.2,,,,True,False
Alabama,2015,0.227227154199813,0.22692152890137493,0.3887996880684749,0.15705162883033716,0.6603486931169597,0.2643869039044405,0.013512017998712787,0.04115204456729908,18.5,,,,True,False
Alabama,2016,0.22606031633434598,0.2257264021465912,0.3870752180774233,0.16113806344163956,0.6581654252831023,0.2646253488981757,0.013956338252604849,0.04222863046864157,17.2,,,,True,False
Alabama,2017,0.22484770701977602,0.22470943603079382,0.385341551909268,0.16510130504016218,0.6562607831882171,0.26479427779667436,0.014290532376131555,0.043165576842358354,16.9,,,,True,False
Alabama,2018,0.22338896503270161,0.22421123637160445,0.383311022139129,0.16908877645656498,0.6543696284597952,0.264815768459521,0.014463300694132862,0.044436410641365505,16.8,,,,True,False
Alabama,2019,0.22195899196134758,0.22382451406585718,0.3808930317742447,0.17332346219855052,0.652805880259464,0.2646799988170954,0.0146937143917678,0.04553733950483206,15.6,,,,True,False
Alabama,2020,0.22444961290212342,0.22291993751755879,0.3805577642698507,0.17207268531046707,0.6456465943215048,0.26437455767764323,0.014878522038332684,0.05267634580240305,14.9,,,,True,False
Alabama,2021,0.22343101753229624,0.22412835627692013,0.3780386025814803,0.17440202360930335,0.6440851177098295,0.2638429959938176,0.01513547899507169,0.053935715706025275,16.3,12806.0,4997675.0,256.239151,True,True
Alabama,2022,0.22254840794684036,0.22413759477843678,0.3753896876411617,0.17792430963356112,0.6419081589092273,0.2631801348297076,0.015544559975304269,0.055766135998696655,16.2,12000.0,5028092.0,238.659118,True,True
Alabama,2023,0.2215690607821172,0.22405730104287633,0.3726764097667045,0.18169722840830196,0.6396794011653343,0.2620327637189793,0.016096378178129006,0.05796286710776558,15.7,11241.0,5054253.0,222.406753,True,True
Alabama,2024,0.22003164589480698,0.22406716638563048,0.37056640955588915,0.18533477816367339,0.6367294795605559,0.2612572001584427,0.01685363957842441,0.06038487317697291,15.2,,,,True,False
Alaska,2005,0.2756930845975536,0.24466838394712617,0.41374863932012484,0.06588989213519535,0.6586395300369146,0.032354943278766195,0.047083272108986336,0.051611374833944575,10.8,,,,True,False
Alaska,2006,0.27220413977746255,0.24569303807777854,0.4145774779283935,0.06752534421636541,0.6560279697083675,0.03184945402205236,0.04775493038670106,0.05257647689478189,10.9,,,,True,False
Alaska,2007,0.26864118771130385,0.247138615316772,0.4142422460679112,0.06997795090401293,0.6530339556078201,0.03184918418344848,0.04865941496398648,0.053254446567690725,9.8,,,,True,False
Alaska,2008,0.26543846506316776,0.24907957611770953,0.4122815311547665,0.07320042766435621,0.6493937785018655,0.03167480053239848,0.05001200078550596,0.054194092704249734,9.2,,,,True,False
Alaska,2009,0.26617789510584566,0.24597056782492363,0.41219067241860363,0.07566086465062706,0.6448193219296174,0.031081922177151073,0.05238268981749762,0.054703496233339775,9.1,,,,True,False
Alaska,2010,0.2633315123755095,0.25189729797873683,0.4069378493087364,0.07783334033701728,0.6414884229104509,0.03125744141418386,0.05340589149892844,0.05604628034346066,11.0,,,,True,False
Alaska,2011,0.2611448385881727,0.2550808166973168,0.4031861387454856,0.08058820596902488,0.6369383267232402,0.03181845877739126,0.054619125695167615,0.0583234551215297,10.8,,,,True,False
Alaska,2012,0.25792430073256917,0.258666316194419,0.3979680823828827,0.08544130069012915,0.6311799825585296,0.03281844031635597,0.0558934783412258,0.06182549493937241,10.8,,,,True,False
Alaska,2013,0.25553815930144846,0.26388474333440065,0.3908268979252932,0.08975019943885774,0.625491813509744,0.03331985651256058,0.05765275388430918,0.06456799101304087,10.1,,,,True,False
Alaska,2014,0.25373124192735674,0.26520101645698735,0.3861395686169584,0.0949281729986975,0.6212407457458613,0.033002255926050175,0.05851961813596131,0.06675286540637228,11.4,,,,True,False
Alaska,2015,0.25239932854055197,0.2643234286737049,0.38302205565303227,0.10025518713271087,0.6175325221220939,0.03279059739823023,0.05968422965214821,0.06837171083853787,10.4,,,,True,False
Alaska,2016,0.2520055134761874,0.26320914524934724,0.37936708314451567,0.10541825812994972,0.6128441876524029,0.0332791156858937,0.0613522582594247,0.07009181933924602,9.9,,,,True,False
Alaska,2017,0.25065567121806137,0.2600486683790726,0.3776341760173043,0.11166148438556171,0.6070866567527375,0.033579829660673244,0.06332972826821684,0.07180343382452345,11.0,,,,True,False
Alaska,2018,0.24851898756561686,0.25654468066583325,0.3764689398875587,0.11846739188099122,0.6040408684616106,0.033611330646313144,0.06345330610945685,0.07229381110239017,11.1,,,,True,False
Alaska,2019,0.2460313446199482,0.253900990369697,0.37486962524520023,0.12519803976515456,0.6015733823619873,0.03306700202995031,0.06370899944637719,0.07273920264645374,10.2,,,,True,False
Alaska,2020,0.24590016329771341,0.24786737551789387,0.37819586721726783,0.1280365939671249,0.5983230948259044,0.032828706564786356,0.06489344721882302,0.06892336739802761,9.6,,,,True,False
Alaska,2021,0.24349827074426078,0.24684104463386072,0.37605729691457207,0.13360338770730645,0.5951063424198687,0.03274829116854116,0.06496555104708478,0.07102203099044144,10.8,3314.0,735951.0,450.301718,True,True
Alaska,2022,0.24148128783484604,0.24594590178666254,0.37408399846414014,0.1384888119143513,0.5925927438790265,0.03274867178075328,0.06554227563238486,0.07285667214020984,10.8,3053.0,734822.0,415.474768,True,True
Alaska,2023,0.23866071064887104,0.2449987101329242,0.37305671341869084,0.14328386579951394,0.5893877883531792,0.03251008132951352,0.06671328291537114,0.07494127710418053,10.5,3456.0,733971.0,470.86329,True,True
Alaska,2024,0.23637238172058264,0.2432873551105004,0.3727911064632978,0.14754915670561913,0.5847854372119605,0.03253199087191086,0.06845661522996542,0.07731853599285533,10.3,,,,True,False
Arizona,2005,0.2613319536632245,0.2389926695606172,0.3701117488260559,0.1295636279501024,0.6093411681332512,0.03282796236459975,0.02246776331259204,0.27715664650423344,14.4,,,,True,False
Arizona,2006,0.2606002082220336,0.2378567029697929,0.3721276380831034,0.12941545072507013,0.6014729129738382,0.034047802166179225,0.023966764087952164,0.2822894671065082,14.2,,,,True,False
Arizona,2007,0.2603567532108097,0.2365872359481627,0.37286656038144644,0.13018945045958116,0.5938406996081671,0.0351307079597664,0.025060634621018825,0.28757080659651496,14.1,,,,True,False
Arizona,2008,0.25978840073231446,0.23520854371133385,0.3725005023595774,0.13250255319677431,0.5876006828905722,0.03625841949874864,0.025929556289908128,0.2915223676596986,14.7,,,,True,False
Arizona,2009,0.25748736354185947,0.23376273065418243,0.37310035354651644,0.13564955225744166,0.5828731258928918,0.037292804179119725,0.026580940648768734,0.29430469447848817,16.5,,,,True,False
Arizona,2010,0.2538296146880402,0.23323066713364335,0.3741747529175118,0.13876496526080462,0.5786641906913066,0.037783284107247316,0.02715285308401273,0.29707864873925655,17.6,,,,True,False
Arizona,2011,0.2496587560908272,0.23440594514481952,0.3738525359733265,0.1420827627910268,0.5744066218390231,0.03836377195528936,0.028181378147999203,0.2991331361856355,19.0,,,,True,False
Arizona,2012,0.24664171260376466,0.2348586066955526,0.37056920709726254,0.14793047360342018,0.5701314329353966,0.03911012363428222,0.0290908680395266,0.30122953883292974,18.7,,,,True,False
Arizona,2013,0.24394596279921915,0.23497202674480805,0.36827768936147887,0.15280432109449393,0.5655717586212927,0.03974919053353926,0.030151984904030957,0.3035624364141405,18.6,,,,True,False
Arizona,2014,0.24125161412828602,0.23521038010594594,0.36605079064241675,0.15748721512335126,0.5611505564368784,0.04045606116593439,0.031197639728795246,0.30588286335474507,18.2,,,,True,False
Arizona,2015,0.23846416726064312,0.23427787789640386,0.36502683289807597,0.16223112194487704,0.5566196698057126,0.041375022768283594,0.031932700760621734,0.30866837606937725,17.4,,,,True,False
Arizona,2016,0.23558580000322718,0.23386445206158357,0.36392231632232025,0.16662743161286903,0.5521989975035556,0.042380197179916874,0.03293108038643022,0.3109018318784188,16.4,,,,True,False
Arizona,2017,0.23241910003509367,0.2329281852036511,0.3633742323972375,0.17127848236401777,0.5482627220184872,0.04312558986304388,0.03343735555098745,0.3134258223443244,14.9,,,,True,False
Arizona,2018,0.22877822147564747,0.23343509326037465,0.36229523678601805,0.17549144847795983,0.5448187935664927,0.04393600803797249,0.03369253861121449,0.3155697717694157,14.1,,,,True,False
Arizona,2019,0.22534685714529085,0.2336863763215413,0.36117780097783714,0.1797889655553307,0.5412615987130699,0.04475747580239759,0.0342455957554058,0.31744468152835176,13.5,,,,True,False
