State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless
Alabama,1,1999,4430141,435,9.819100565873637,557,12.57296325331406,122,2.7538626874404226,4.733333333333333,23296.0,0.537,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-24.0
Alabama,1,2000,4447100,427,9.601762946639385,589,13.244586359650109,162,3.642823413010724,4.641666666666667,24258.0,0.538,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-23.0
Alabama,1,2001,4467634,387,8.66230313405261,512,11.46020466313937,125,2.79790152908676,5.15,25046.0,0.522,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-22.0
Alabama,1,2002,4480089,381,8.504295338775636,516,11.517628332829997,135,3.013332994054359,5.891666666666667,25671.0,0.553,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-21.0
Alabama,1,2003,4503491,399,8.85979343580347,521,11.568802957527838,122,2.7090095217243686,5.95,26700.0,0.504,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-20.0
Alabama,1,2004,4530729,375,8.276813731300194,544,12.00689778620615,169,3.730084054905955,5.575,28385.0,0.516,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-19.0
Alabama,1,2005,4569805,369,8.07474279537092,536,11.729165686500846,167,3.6544228911299257,4.458333333333333,29780.0,0.485,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-18.0
Alabama,1,2006,4628981,400,8.641210668179454,580,12.529755468860207,180,3.888544800680755,4.008333333333333,31264.0,0.468,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-17.0
Alabama,1,2007,4672840,396,8.474503727925631,592,12.668955068010032,196,4.194451340084401,4.066666666666666,32516.0,0.481,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-16.0
Alabama,1,2008,4718206,424,8.986466466279769,604,12.801475815172122,180,3.815009348892353,5.916666666666667,33441.0,0.503,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-15.0
Alabama,1,2009,4757938,479,10.067386334164086,675,14.1868179030496,196,4.119431568885513,9.733333333333333,32717.0,0.482,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-14.0
Alabama,1,2010,4779736,454,9.49843254941277,680,14.226727166521332,226,4.728294617108562,10.375,33848.0,0.456,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-13.0
