State,Year,gun_ownership
Illinois,2016,0.226
Indiana,1999,0.405
Indiana,2000,0.444
Indiana,2001,0.387
Indiana,2002,0.408
Indiana,2003,0.364
Indiana,2004,0.391
Indiana,2005,0.37
Indiana,2006,0.386
Indiana,2007,0.358
Indiana,2008,0.374
Indiana,2009,0.4
Indiana,2010,0.391
Indiana,2011,0.351
Indiana,2012,0.432
Indiana,2013,0.406
Indiana,2014,0.424
Indiana,2015,0.394
Indiana,2016,0.424
Iowa,1999,0.397
Iowa,2000,0.477
Iowa,2001,0.398
Iowa,2002,0.417
Iowa,2003,0.389
Iowa,2004,0.423
Iowa,2005,0.359
Iowa,2006,0.375
Iowa,2007,0.388
Iowa,2008,0.396
Iowa,2009,0.387
Iowa,2010,0.411
Iowa,2011,0.376
Iowa,2012,0.409
Iowa,2013,0.401
Iowa,2014,0.331
Iowa,2015,0.36
Iowa,2016,0.385
Kansas,1999,0.433
Kansas,2000,0.469
Kansas,2001,0.417
Kansas,2002,0.418
Kansas,2003,0.437
Kansas,2004,0.428
Kansas,2005,0.392
Kansas,2006,0.426
Kansas,2007,0.447
Kansas,2008,0.421
Kansas,2009,0.43
Kansas,2010,0.439
Kansas,2011,0.444
Kansas,2012,0.455
Kansas,2013,0.452
Kansas,2014,0.419
Kansas,2015,0.377
Kansas,2016,0.423
Kentucky,1999,0.54
Kentucky,2000,0.553
Kentucky,2001,0.522
Kentucky,2002,0.52
Kentucky,2003,0.507
Kentucky,2004,0.52
Kentucky,2005,0.502
Kentucky,2006,0.476
Kentucky,2007,0.509
Kentucky,2008,0.499
Kentucky,2009,0.491
Kentucky,2010,0.464
Kentucky,2011,0.529
Kentucky,2012,0.514
Kentucky,2013,0.498
Kentucky,2014,0.467
Kentucky,2015,0.464
Kentucky,2016,0.525
Louisiana,1999,0.513
Louisiana,2000,0.505
Louisiana,2001,0.45
Louisiana,2002,0.485
Louisiana,2003,0.476
Louisiana,2004,0.491
Louisiana,2005,0.486
Louisiana,2006,0.483
Louisiana,2007,0.476
Louisiana,2008,0.492
Louisiana,2009,0.458
Louisiana,2010,0.454
Louisiana,2011,0.467
Louisiana,2012,0.551
Louisiana,2013,0.487
Louisiana,2014,0.481
Louisiana,2015,0.456
Louisiana,2016,0.523
Maine,1999,0.441
Maine,2000,0.466
Maine,2001,0.403
Maine,2002,0.41
Maine,2003,0.421
Maine,2004,0.411
Maine,2005,0.425
Maine,2006,0.431
Maine,2007,0.457
Maine,2008,0.462
Maine,2009,0.441
Maine,2010,0.46
Maine,2011,0.47
Maine,2012,0.46
Maine,2013,0.496
Maine,2014,0.423
Maine,2015,0.413
Maine,2016,0.477
Maryland,1999,0.298
Maryland,2000,0.265
Maryland,2001,0.249
Maryland,2002,0.252
Maryland,2003,0.24
Maryland,2004,0.236
Maryland,2005,0.266
Maryland,2006,0.237
Maryland,2007,0.206
Maryland,2008,0.235
Maryland,2009,0.218
Maryland,2010,0.196
Maryland,2011,0.266
Maryland,2012,0.213
Maryland,2013,0.18
Maryland,2014,0.219
Maryland,2015,0.201
Maryland,2016,0.167
Massachusetts,1999,0.136
Massachusetts,2000,0.126
Massachusetts,2001,0.121
Massachusetts,2002,0.115
Massachusetts,2003,0.129
Massachusetts,2004,0.104
Massachusetts,2005,0.103
Massachusetts,2006,0.116
Massachusetts,2007,0.075
Massachusetts,2008,0.096
Massachusetts,2009,0.091
Massachusetts,2010,0.122
Massachusetts,2011,0.135
Massachusetts,2012,0.111
Massachusetts,2013,0.085
Massachusetts,2014,0.1
Massachusetts,2015,0.088
Massachusetts,2016,0.09
Michigan,1999,0.368
Michigan,2000,0.401
Michigan,2001,0.38
Michigan,2002,0.388
Michigan,2003,0.359
Michigan,2004,0.384
Michigan,2005,0.346
Michigan,2006,0.372
Michigan,2007,0.334
Michigan,2008,0.315
Michigan,2009,0.354
Michigan,2010,0.342
Michigan,2011,0.325
Michigan,2012,0.391
Michigan,2013,0.36
Michigan,2014,0.347
Michigan,2015,0.358
Michigan,2016,0.389
Minnesota,1999,0.411
Minnesota,2000,0.447
Minnesota,2001,0.405
Minnesota,2002,0.409
Minnesota,2003,0.405
Minnesota,2004,0.406
Minnesota,2005,0.387
Minnesota,2006,0.373
Minnesota,2007,0.403
Minnesota,2008,0.386
Minnesota,2009,0.396
Minnesota,2010,0.41
Minnesota,2011,0.411
Minnesota,2012,0.382
Minnesota,2013,0.424
Minnesota,2014,0.353
Minnesota,2015,0.341
Minnesota,2016,0.391
Mississippi,1999,0.57
Mississippi,2000,0.536
Mississippi,2001,0.545
Mississippi,2002,0.541
Mississippi,2003,0.541
Mississippi,2004,0.53
Mississippi,2005,0.5
Mississippi,2006,0.49
Mississippi,2007,0.522
Mississippi,2008,0.497
Mississippi,2009,0.478
Mississippi,2010,0.48
Mississippi,2011,0.498
Mississippi,2012,0.568
Mississippi,2013,0.502
Mississippi,2014,0.488
Mississippi,2015,0.474
Mississippi,2016,0.541
Missouri,1999,0.426
Missouri,2000,0.461
Missouri,2001,0.446
Missouri,2002,0.477
Missouri,2003,0.433
Missouri,2004,0.451
Missouri,2005,0.417
Missouri,2006,0.445
Missouri,2007,0.449
Missouri,2008,0.487
Missouri,2009,0.47
Missouri,2010,0.463
Missouri,2011,0.434
Missouri,2012,0.511
Missouri,2013,0.486
Missouri,2014,0.497
Missouri,2015,0.488
Missouri,2016,0.528
Montana,1999,0.581
Montana,2000,0.646
Montana,2001,0.623
Montana,2002,0.626
Montana,2003,0.632
Montana,2004,0.62
Montana,2005,0.694
Montana,2006,0.614
Montana,2007,0.639
Montana,2008,0.69
Montana,2009,0.625
Montana,2010,0.621
Montana,2011,0.603
Montana,2012,0.658
Montana,2013,0.633
Montana,2014,0.64
Montana,2015,0.608
Montana,2016,0.65
Nebraska,1999,0.455
Nebraska,2000,0.486
Nebraska,2001,0.4
Nebraska,2002,0.419
Nebraska,2003,0.391
Nebraska,2004,0.466
Nebraska,2005,0.371
Nebraska,2006,0.351
Nebraska,2007,0.426
Nebraska,2008,0.34
Nebraska,2009,0.415
Nebraska,2010,0.425
Nebraska,2011,0.418
Nebraska,2012,0.416
Nebraska,2013,0.405
Nebraska,2014,0.365
Nebraska,2015,0.362
Nebraska,2016,0.392
Nevada,1999,0.433
Nevada,2000,0.471
Nevada,2001,0.369
Nevada,2002,0.386
Nevada,2003,0.36
Nevada,2004,0.392
Nevada,2005,0.36
Nevada,2006,0.351
Nevada,2007,0.397
Nevada,2008,0.371
Nevada,2009,0.391
Nevada,2010,0.372
Nevada,2011,0.318
Nevada,2012,0.377
Nevada,2013,0.351
Nevada,2014,0.344
Nevada,2015,0.328
Nevada,2016,0.329
New Hampshire,1999,0.374
New Hampshire,2000,0.391
New Hampshire,2001,0.31
New Hampshire,2002,0.317
New Hampshire,2003,0.33
New Hampshire,2004,0.315
New Hampshire,2005,0.364
New Hampshire,2006,0.364
New Hampshire,2007,0.364
New Hampshire,2008,0.368
New Hampshire,2009,0.383
New Hampshire,2010,0.394
New Hampshire,2011,0.385
New Hampshire,2012,0.394
New Hampshire,2013,0.406
New Hampshire,2014,0.381
New Hampshire,2015,0.372
New Hampshire,2016,0.463
New Jersey,1999,0.144
New Jersey,2000,0.108
New Jersey,2001,0.122
New Jersey,2002,0.117
New Jersey,2003,0.112
New Jersey,2004,0.108
New Jersey,2005,0.106
New Jersey,2006,0.118
New Jersey,2007,0.063
New Jersey,2008,0.088
New Jersey,2009,0.098
New Jersey,2010,0.085
New Jersey,2011,0.102
