State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Alaska,2,2016,74,741894,9.97447074649478,93,741894,12.535483505729928,129.0,741894.0,17.387928733754418
Alaska,2,2017,65,739795,8.78621780358072,92,739795,12.435877506606559,154.0,739795.0,20.816577565406632
Alaska,2,2018,44,737438,5.966603294107437,80,737438,10.848369625649886,142.0,737438.0,19.255856085528546
Alaska,2,2019,64,731545,8.748607399408103,97,731545,13.259608089727905,149.0,731545.0,20.367851601746988
Alaska,2,2020,64,731158,8.75323801421854,113,731158,15.454935868854612,179.0,731158.0,24.481712571017482
Alaska,2,2021,77,732673,10.509463293993363,120,732673,16.378384354275372,278.0,732673.0,37.94325708740461
Alaska,2,2022,66,733583,8.996936951919551,90,733583,12.268550388981208,265.0,733583.0,36.12406503422244
Alaska,2,2023,67,733406,9.135458395486264,123,733406,16.771065412609115,365.0,733406.0,49.767795736604285
Alaska,2,2024,66,740133,8.917316212086206,111,740133,14.99730453850862,359.0,740133.0,48.50479575968103
Arizona,4,1999,361,5023823,7.185762714968262,426,5023823,8.479598106860054,387.0,5023823.0,7.703296871724978
Arizona,4,2000,384,5130632,7.484458055070018,430,5130632,8.381033759583614,424.0,5130632.0,8.264089102473145
Arizona,4,2001,459,5273477,8.703934804304636,418,5273477,7.926459146403786,457.0,5273477.0,8.666009162455815
Arizona,4,2002,465,5396255,8.617087220674337,443,5396255,8.209397072599423,488.0,5396255.0,9.043308739116295
Arizona,4,2003,495,5510364,8.983072624603384,495,5510364,8.983072624603384,532.0,5510364.0,9.654534618765656
Arizona,4,2004,533,5652404,9.429616142087509,466,5652404,8.244279779010842,565.0,5652404.0,9.995746942362931
Arizona,4,2005,700,5839077,11.988196079620119,566,5839077,9.693312830092838,603.0,5839077.0,10.32697462287276
Arizona,4,2006,722,6029141,11.975171919183843,508,6029141,8.425744231226306,687.0,6029141.0,11.394658044985182
Arizona,4,2007,742,6167681,12.030453585391333,465,6167681,7.5393004275026545,757.0,6167681.0,12.273656824988194
Arizona,4,2008,752,6280362,11.97383208165389,434,6280362,6.910429685422591,702.0,6280362.0,11.177699629416265
Arizona,4,2009,741,6343154,11.681885699133272,446,6343154,7.031202458587636,844.0,6343154.0,13.305683576340728
Arizona,4,2010,782,6392017,12.234010015930808,440,6392017,6.883586198221938,937.0,6392017.0,14.658909699395355
Arizona,4,2011,815,6482505,12.572300368453245,419,6482505,6.463550741572895,935.0,6482505.0,14.423436619023049
Arizona,4,2012,797,6553255,12.161895119295679,397,6553255,6.058058171092076,957.0,6553255.0,14.603429898577119
Arizona,4,2013,906,6626624,13.67212022290687,451,6626624,6.805878830608164,1063.0,6626624.0,16.041350769260486
Arizona,4,2014,962,6731484,14.291053800320999,414,6731484,6.1502040263335696,1039.0,6731484.0,15.434932326957918
Arizona,4,2015,1045,6828065,15.304482309409767,423,6828065,6.1950201118472075,1088.0,6828065.0,15.93423612692615
Arizona,4,2016,1115,6931071,16.08697991984211,538,6931071,7.762148158632338,1299.0,6931071.0,18.741692301233098
Arizona,4,2017,1094,7016270,15.592330397775457,576,7016270,8.209490227713585,1405.0,7016270.0,20.024885017252757
Arizona,4,2018,1098,7171646,15.310292783553454,472,7171646,6.581473764879081,1565.0,7171646.0,21.822047546685937
Arizona,4,2019,1117,7278717,15.346111134695853,564,7278717,7.74861833479719,1811.0,7278717.0,24.880758518293817
Arizona,4,2020,1130,7421401,15.226235585437305,644,7421401,8.677606829222677,2491.0,7421401.0,33.56509101179144
Arizona,4,2021,1146,7276316,15.749728296572055,698,7276316,9.592766449395546,2654.0,7276316.0,36.474501657157276
Arizona,4,2022,1178,7359197,16.00718121827694,719,7359197,9.77008768755613,2560.0,7359197.0,34.78640400576313
Arizona,4,2023,1298,7431344,17.46655786624869,840,7431344,11.303473503581587,2523.0,7431344.0,33.95079005897184
Arizona,4,2024,1326,7582384,17.487903540627855,868,7582384,11.447586933080679,2382.0,7582384.0,31.41492174492877
Arkansas,5,1999,117,2651860,4.411997616767099,408,2651860,15.385427586675013,35.0,2651860.0,1.3198283468961407
Arkansas,5,2000,100,2673400,3.740555098376599,390,2673400,14.588164883668735,61.0,2673400.0,2.2817386100097257
Arkansas,5,2001,141,2691571,5.238576281287025,390,2691571,14.489679075900284,52.0,2691571.0,1.9319572101200377
Arkansas,5,2002,169,2705927,6.245549122352525,320,2705927,11.825891829306554,76.0,2705927.0,2.808649309460307
Arkansas,5,2003,168,2724816,6.165553930981027,312,2724816,11.45031444325048,78.0,2724816.0,2.86257861081262
Arkansas,5,2004,154,2749686,5.600639491200086,335,2749686,12.183209282805382,106.0,2749686.0,3.8549856238130458
Arkansas,5,2005,137,2781097,4.926113688231658,334,2781097,12.009649429703458,120.0,2781097.0,4.314844106480285
Arkansas,5,2006,174,2821761,6.166362069643744,326,2821761,11.553069164964716,150.0,2821761.0,5.315829370382538
Arkansas,5,2007,184,2848650,6.459199971916521,336,2848650,11.795060818282344,162.0,2848650.0,5.686904323100416
Arkansas,5,2008,183,2874554,6.366204983451346,390,2874554,13.567322095879916,231.0,2874554.0,8.036029241405798
Arkansas,5,2009,197,2896843,6.800506620483056,354,2896843,12.220199713964478,262.0,2896843.0,9.044328601860716
Arkansas,5,2010,227,2915918,7.7848554040271365,322,2915918,11.042834537871093,257.0,2915918.0,8.81369091997786
Arkansas,5,2011,223,2937979,7.590251666196388,366,2937979,12.457543093398558,294.0,2937979.0,10.006878878303759
Arkansas,5,2012,248,2949131,8.409256828536948,341,2949131,11.562728139238304,291.0,2949131.0,9.867313456065533
Arkansas,5,2013,229,2959373,7.7381256097153015,332,2959373,11.21859258701083,246.0,2959373.0,8.312571615676699
Arkansas,5,2014,234,2966369,7.888431951655375,371,2966369,12.506872880616,291.0,2966369.0,9.809973068084247
Arkansas,5,2015,270,2978204,9.06586654238595,338,2978204,11.349121819727594,303.0,2978204.0,10.173916897566453
Arkansas,5,2016,240,2988248,8.03146191346903,354,2988248,11.84640632236682,345.0,2988248.0,11.54522650061173
Arkansas,5,2017,300,3004279,9.985756981958067,343,3004279,11.417048816038724,376.0,3004279.0,12.515482084054112
Arkansas,5,2018,248,3013825,8.228745862815526,328,3013825,10.883180012110856,385.0,3013825.0,12.77446434348378
Arkansas,5,2019,228,3017804,7.555162628189239,354,3017804,11.730384080609609,361.0,3017804.0,11.962340827966296
Arkansas,5,2020,247,3030522,8.150411051297434,349,3030522,11.51616784171176,505.0,3030522.0,16.663795874110136
Arkansas,5,2021,282,3025891,9.319569012895705,399,3025891,13.186198709735413,601.0,3025891.0,19.861918357270635
Arkansas,5,2022,347,3045637,11.393347270209812,417,3045637,13.691717036534557,603.0,3045637.0,19.798813844197454
Arkansas,5,2023,361,3067732,11.767651150752412,380,3067732,12.387001211318328,511.0,3067732.0,16.65725689206228
Arkansas,5,2024,342,3088354,11.073860056198221,389,3088354,12.59570632123131,409.0,3088354.0,13.24330047656454
California,6,1999,1213,33499204,3.620981561233515,1638,33499204,4.889668423166114,2248.0,33499204.0,6.710607213234082
California,6,2000,1214,33871648,3.584118493437343,1549,33871648,4.5731462490399055,1596.0,33871648.0,4.711905366990115
California,6,2001,1192,34479458,3.4571309096564105,1611,34479458,4.672347227731944,1037.0,34479458.0,3.007587880296726
California,6,2002,1470,34871843,4.215435358549877,1626,34871843,4.662787682314353,2408.0,34871843.0,6.905284587338845
California,6,2003,1500,35253159,4.254937834081763,1611,35253159,4.569803233803813,2497.0,35253159.0,7.0830531811347734
California,6,2004,1636,35574576,4.598789877355109,1661,35574576,4.669064783793909,2535.0,35574576.0,7.125875512894377
California,6,2005,1657,35827943,4.624881757794467,2013,35827943,5.618519600748499,2642.0,35827943.0,7.374132531136381
California,6,2006,1743,36021202,4.8388168723520115,1854,36021202,5.146968721365822,2862.0,36021202.0,7.945320647545299
California,6,2007,1892,36250311,5.219265567128514,1652,36250311,4.557202281657666,3372.0,36250311.0,9.301989160865407
California,6,2008,1895,36604337,5.176982170172895,1445,36604337,3.9476196495513634,3384.0,36604337.0,9.244806155073919
California,6,2009,2055,36961229,5.559880057018667,1528,36961229,4.134061667700498,3600.0,36961229.0,9.739935866310073
California,6,2010,2081,37253956,5.585983942215425,1514,37253956,4.063997928166341,3580.0,37253956.0,9.609717690115916
California,6,2011,2145,37691912,5.690876069115305,1594,37691912,4.229023987957947,3727.0,37691912.0,9.888062988155124
California,6,2012,2282,38041430,5.998722971244772,1484,38041430,3.9010100303800357,3644.0,38041430.0,9.579030020690599
California,6,2013,2208,38332521,5.7601220644997495,1596,38332521,4.163566492274275,4015.0,38332521.0,10.474135004060912
California,6,2014,2318,38802500,5.973841891630694,1556,38802500,4.010050898782295,4139.0,38802500.0,10.66683847690226
