State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless,firearm_homicide_deaths,firearm_homicide_rate_per_100k,total_firearm_deaths,total_firearm_rate_per_100k,permit_to_purchase,waiting_period,universal_background_check,erpo_red_flag,safe_storage,stand_your_ground,dealer_license,uninsured_under65_pct,drug_overdose_rate_per_100k,share_age_under18,share_age_18_34,share_age_35_64,share_age_65plus,share_white_nonhispanic,share_black_nonhispanic,share_asian_nonhispanic,share_hispanic,poverty_rate,mental_health_provider_count,mental_health_access_population,mental_health_provider_rate_per_100k,phase3b2_demographic_poverty_complete,phase3b2_full_complete,firearm_suicide_ageadj_rate_per_100k,total_suicide_ageadj_rate_per_100k,total_firearm_ageadj_rate_per_100k,firearm_homicide_ageadj_rate_per_100k
Alabama,1,1999,4430141,435,9.819100565873637,557,12.57296325331406,122,2.7538626874404226,4.733333333333333,23296.0,0.537,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-24.0,293.0,6.613784978852818,790,17.832381482945358,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,9.7,12.5,17.7,6.6
Alabama,1,2000,4447100,427,9.601762946639385,589,13.244586359650109,162,3.642823413010724,4.641666666666667,24258.0,0.538,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-23.0,294.0,6.611049897686132,766,17.224708236828494,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,9.6,13.1,17.2,6.6
Alabama,1,2001,4467634,387,8.66230313405261,512,11.46020466313937,125,2.79790152908676,5.15,25046.0,0.522,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-22.0,302.0,6.759730094273613,737,16.49642741549554,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,8.6,11.4,16.4,6.8
Alabama,1,2002,4480089,381,8.504295338775636,516,11.517628332829997,135,3.013332994054359,5.891666666666667,25671.0,0.553,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-21.0,292.0,6.517727661213873,724,16.160393242187823,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,8.5,11.4,16.1,6.5
Alabama,1,2003,4503491,399,8.85979343580347,521,11.568802957527838,122,2.7090095217243686,5.95,26700.0,0.504,4.641791044776119,0.5671641791044776,0.5760694192133109,2023.0,1,0,-20.0,322.0,7.1500087376659565,765,16.986822000976577,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,8.7,11.4,16.9,7.2
Alabama,1,2004,4530729,375,8.276813731300194,544,12.00689778620615,169,3.730084054905955,5.575,28385.0,0.516,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-19.0,262.0,5.782733860268403,679,14.98655072947422,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,8.0,11.7,14.8,5.9
Alabama,1,2005,4569805,369,8.07474279537092,536,11.729165686500846,167,3.6544228911299257,4.458333333333333,29780.0,0.485,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-18.0,319.0,6.9806042052122566,736,16.10572004713549,0,0,0,0,0,0,1,,,0.2442928746412593,0.2286441544004613,0.3953063642759373,0.131756606682342,0.6880812200958246,0.2598806732453573,0.0092699797912602,0.0273145134201568,16.9,,,,True,False,7.8,11.5,16.0,7.1
Alabama,1,2006,4628981,400,8.641210668179454,580,12.529755468860207,180,3.888544800680755,4.008333333333333,31264.0,0.468,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-17.0,333.0,7.193807881259396,780,16.850360802949936,0,0,0,0,0,1,1,,,0.2430063549623556,0.2272857028361101,0.3972641062903477,0.1324438359111865,0.6841801683783105,0.2603920819722526,0.0096975986723643,0.0297780440230798,16.6,,,,True,False,8.4,12.4,16.8,7.3
Alabama,1,2007,4672840,396,8.474503727925631,592,12.668955068010032,196,4.194451340084401,4.066666666666666,32516.0,0.481,4.641791044776119,0.5671641791044776,0.6289777135228225,2023.0,1,0,-16.0,378.0,8.08929901301992,812,17.377012694635383,0,0,0,0,0,1,1,,,0.242141267409113,0.2262984822934232,0.398435640852244,0.1331246094452196,0.6807763587026305,0.2604251376036842,0.0100889394886193,0.0322399226166528,16.6,,,,True,False,8.2,12.4,17.3,8.3
Alabama,1,2008,4718206,424,8.986466466279769,604,12.801475815172122,180,3.815009348892353,5.916666666666667,33441.0,0.503,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-15.0,349.0,7.39687923757462,820,17.37948703384295,0,0,0,0,0,1,1,15.3,,0.2412728481969629,0.2258822527036759,0.3978478260593115,0.1349970730400495,0.6770673005799238,0.2607118044443163,0.0104639348091202,0.0346972980832121,15.9,,,,True,False,8.7,12.6,17.3,7.6
Alabama,1,2009,4757938,479,10.067386334164086,675,14.1868179030496,196,4.119431568885513,9.733333333333333,32717.0,0.482,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-14.0,317.0,6.662550037432181,830,17.444531643749876,0,0,0,0,0,1,1,15.8,,0.2396657123316865,0.2262140448236189,0.3977079987170913,0.1364122441276031,0.673688055624096,0.260620462057303,0.0109803868818803,0.0370996847794149,17.5,,,,True,False,9.7,13.7,17.2,6.9
Alabama,1,2010,4779736,454,9.49843254941277,680,14.226727166521332,226,4.728294617108562,10.375,33848.0,0.456,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-13.0,283.0,5.920829100184613,782,16.36073624149953,0,0,0,0,0,1,1,16.9,,0.2362235674610281,0.2278356187742101,0.3978460065402595,0.1380948072245021,0.6707613118718312,0.2608520392181529,0.0113024160593901,0.0389072095192142,18.9,,,,True,False,9.2,14.0,16.2,6.0
Alabama,1,2011,4802740,452,9.411294386121256,656,13.658869728529965,204,4.247575342408709,9.558333333333334,34884.0,0.513,4.641791044776119,0.5671641791044776,0.6089090275357267,2023.0,1,0,-12.0,292.0,6.079862745016387,785,16.344836489170767,0,0,0,0,0,1,1,16.6,,0.2341760453954715,0.2283707527439176,0.3974225000724098,0.140030701788201,0.6688538964536663,0.2612700505035455,0.0116560107804242,0.039547878974026,19.1,,,,True,False,9.0,13.2,16.0,6.2
Alabama,1,2012,4822023,500,10.369091976541796,727,15.076659733891772,227,4.707567757349976,8.174999999999999,35559.0,0.543,4.641791044776119,0.5671641791044776,0.6121622853343771,2023.0,1,0,-11.0,306.0,6.345884289643579,831,17.233430865012465,0,0,0,0,0,1,1,15.8,,0.2318931769079913,0.2288117255878202,0.3943483121894979,0.1449467853146905,0.6667812944130602,0.2620855438629716,0.0123245593269191,0.0395912191823719,19.0,,,,True,False,10.0,14.7,17.1,6.6
Alabama,1,2013,4833722,504,10.426747752560036,722,14.936729915373702,218,4.509982162813666,7.358333333333333,35706.0,0.516,4.641791044776119,0.5671641791044776,0.6121622853343771,2023.0,1,0,-10.0,317.0,6.558093328495103,860,17.791672752384187,0,0,0,0,0,1,1,15.9,,0.2297907633433062,0.22905123123194,0.3921772740457148,0.1489807313790389,0.6645540726956752,0.2630417585129525,0.0127471982353919,0.0399850437290803,18.9,,,,True,False,9.9,14.4,17.6,6.9
Alabama,1,2014,4849377,479,9.877557467691211,715,14.744161982044291,236,4.86660451435308,6.766666666666667,36722.0,0.51,4.641791044776119,0.5671641791044776,0.6121622853343771,2023.0,1,0,-9.0,292.0,6.021392026233473,815,16.806282538973562,0,0,0,0,0,1,1,14.2,,0.2283746186076704,0.2282205436450377,0.3901940167280798,0.153210821019212,0.662689839045363,0.2636520020760878,0.0131122750035678,0.0404134909359103,19.2,,,,True,False,9.5,14.5,16.9,6.4
Alabama,1,2015,4858979,528,10.866480386105806,752,15.476502368090086,224,4.61002198198428,6.083333333333333,38189.0,0.495,4.641791044776119,0.5671641791044776,0.6121622853343771,2023.0,1,0,-8.0,391.0,8.046958013195777,958,19.71607615509349,0,0,0,0,0,1,1,11.9,,0.227227154199813,0.2269215289013749,0.3887996880684749,0.1570516288303371,0.6603486931169597,0.2643869039044405,0.0135120179987127,0.041152044567299,18.5,,,,True,False,10.4,14.9,19.6,8.5
Alabama,1,2016,4863300,550,11.30919334608188,789,16.223551909197457,239,4.914358563115577,5.8,38704.0,0.528,4.641791044776119,0.5671641791044776,0.6437414359396074,2023.0,1,0,-7.0,454.0,9.335225052947589,1046,21.50802952727572,0,0,0,0,0,1,1,10.8,,0.2260603163343459,0.2257264021465912,0.3870752180774233,0.1611380634416395,0.6581654252831023,0.2646253488981757,0.0139563382526048,0.0422286304686415,17.2,,,,True,False,10.7,15.7,21.5,9.8
Alabama,1,2017,4874747,573,11.754456179982265,839,17.21114962479078,266,5.456693444808517,4.508333333333334,39968.0,0.528,4.641791044776119,0.5671641791044776,0.6437414359396074,2023.0,1,0,-6.0,506.0,10.380025876214704,1124,23.05760688708563,0,0,0,0,0,1,1,11.0,,0.224847707019776,0.2247094360307938,0.385341551909268,0.1651013050401621,0.6562607831882171,0.2647942777966743,0.0142905323761315,0.0431655768423583,16.9,,,,True,False,11.0,16.6,22.9,11.0
Alabama,1,2018,4887871,552,11.293260399057177,823,16.837596573231988,271,5.544336174174811,3.925,41324.0,0.528,4.641791044776119,0.5671641791044776,0.6437414359396074,2023.0,1,0,-5.0,468.0,9.574720773113691,1064,21.768168595284124,0,0,0,0,0,1,1,11.9,,0.2233889650327016,0.2242112363716044,0.383311022139129,0.1690887764565649,0.6543696284597952,0.264815768459521,0.0144633006941328,0.0444364106413655,16.8,,,,True,False,10.7,16.5,21.8,10.2
Alabama,1,2019,4903185,543,11.074434270785211,805,16.41789979370552,262,5.343465522920308,3.1916666666666664,42998.0,0.528,4.641791044776119,0.5671641791044776,0.6437414359396074,2023.0,1,0,-4.0,486.0,9.911924595951406,1076,21.94491947581011,0,0,0,0,0,1,1,11.6,14.7,0.2219589919613475,0.2238245140658571,0.3808930317742447,0.1733234621985505,0.652805880259464,0.2646799988170954,0.0146937143917678,0.045537339504832,15.6,,,,True,False,10.6,16.3,22.2,10.7
Alabama,1,2020,4921532,542,11.012830964016896,796,16.173825548629978,254,5.160994584613082,6.408333333333334,45872.0,0.528,4.641791044776119,0.5671641791044776,0.6291137483335473,2023.0,1,0,-3.0,564.0,11.45984624299913,1141,23.18383787812413,0,0,0,0,0,1,1,11.8,19.5,0.2244496129021234,0.2229199375175587,0.3805577642698507,0.172072685310467,0.6456465943215048,0.2643745576776432,0.0148785220383326,0.052676345802403,14.9,,,,True,False,10.5,16.0,23.6,12.4
Alabama,1,2021,5039877,623,12.361412788447018,829,16.448814127805104,206,4.087401339358086,3.35,50638.0,0.528,4.641791044776119,0.5671641791044776,0.6291137483335473,2023.0,1,0,-2.0,650.0,12.897140148459972,1315,26.09190660803825,0,0,0,0,0,1,1,11.7,27.0,0.2234310175322962,0.2241283562769201,0.3780386025814803,0.1744020236093033,0.6440851177098295,0.2638429959938176,0.0151354789950716,0.0539357157060252,16.3,12806.0,4997675.0,256.239151,True,True,11.7,15.8,26.4,13.9
Alabama,1,2022,5074296,614,12.10020069779138,841,16.57372766586734,227,4.473526968075962,2.4916666666666667,51697.0,0.528,4.641791044776119,0.5671641791044776,0.6291137483335473,2023.0,1,0,-1.0,624.0,12.297272370393843,1278,25.185759758595086,0,0,0,0,0,1,1,10.5,28.4,0.2225484079468403,0.2241375947784367,0.3753896876411617,0.1779243096335611,0.6419081589092273,0.2631801348297076,0.0155445599753042,0.0557661359986966,16.2,12000.0,5028092.0,238.659118,True,True,11.5,16.3,25.5,13.1
Alabama,1,2023,5108468,618,12.09756036447718,872,17.06969682495809,254,4.972136460480909,2.4666666666666663,54612.0,0.528,4.641791044776119,0.5671641791044776,0.6291137483335473,2023.0,1,1,0.0,633.0,12.39119047041109,1292,25.291339791107628,0,0,0,0,0,1,1,10.2,30.4,0.2215690607821172,0.2240573010428763,0.3726764097667045,0.1816972284083019,0.6396794011653343,0.2620327637189793,0.016096378178129,0.0579628671077655,15.7,11241.0,5054253.0,222.406753,True,True,11.6,16.8,25.6,13.2
Alabama,1,2024,5157699,622,12.059641324551896,845,16.383274789785137,223,4.323633465233241,3.058333333333333,57311.0,0.528,4.641791044776119,0.5671641791044776,0.6291137483335473,2023.0,1,1,1.0,562.0,10.896331872022776,1212,23.498850941088264,0,0,0,0,0,1,1,,23.1,0.2200316458948069,0.2240671663856304,0.3705664095558891,0.1853347781636733,0.6367294795605559,0.2612572001584427,0.0168536395784244,0.0603848731769729,15.2,,,,True,False,11.5,15.9,23.7,11.6
