event_time,coef,se,p_value,ci_low,ci_high
-5,-0.3273940191909124,0.183351603453534,0.07416281320433718,-0.686763161959839,0.03197512357801424
-4,-0.06183844155658283,0.22782026810158426,0.7860563270485832,-0.5083661670356879,0.38468928392252233
-3,-0.23645376401345783,0.17725495384534817,0.1822118891009682,-0.5838734735503402,0.11096594552342456
-2,-0.1040162394829941,0.23562604084040073,0.6588899431653258,-0.5658432795301795,0.35781080056419134
0,-0.03590805568028665,0.12841853569911832,0.7797710644070887,-0.2876083856505586,0.21579227428998526
1,0.5278091052140642,0.2204496625077002,0.016654907551552123,0.09572776669897182,0.9598904437291567
2,0.041301815068717225,0.2615000864786454,0.87450259737793,-0.47123835442942785,0.5538419845668623
3,0.11326008889710099,0.24528569580067067,0.6442623097929274,-0.36749987487221353,0.5940200526664154
4,0.3854004033947016,0.24721869085119702,0.11900933953246365,-0.09914823067364453,0.8699490374630477
5,0.22312012425772773,0.2450495553293924,0.3625534950203573,-0.25717700418788136,0.7034172527033369
