event_time,coef,se,p_value,ci_low,ci_high
-5,-1.4331474541753164,0.41300948889085803,0.0005204371224586295,-2.242646052401398,-0.6236488559492347
-4,-0.30476996599622463,0.429836201147069,0.47830123423920456,-1.14724892024448,0.5377089882520306
-3,-0.03474602999347076,0.3195155026860388,0.9134039625560315,-0.6609964152581068,0.5915043552711653
-2,-0.32571967586212236,0.3074068839822599,0.2893394330321537,-0.9282371684673517,0.276797816743107
0,0.13358306978684398,0.31232675444765035,0.6688674122466658,-0.4785773689305507,0.7457435085042387
1,0.4712800770398431,0.36805289244750955,0.20038047172596296,-0.2501035921572756,1.1926637462369618
2,0.7013471817812862,0.35211377838809094,0.046390837304329115,0.011204176140627964,1.3914901874219443
3,0.0311173605023074,0.39974368878081706,0.9379527172059734,-0.752380269508094,0.8146149905127088
4,0.081459500973589,0.5291745304117478,0.8776594676963072,-0.9557225786334367,1.1186415805806147
5,0.8672884111510193,0.7361150305844211,0.23871813761101401,-0.575497048794446,2.3100738710964848
