event_time,coef,se,p_value,ci_low,ci_high
-5,-1.4059544862213056,0.301244498617836,3.054003344134589e-06,-1.996393703512264,-0.8155152689303471
-4,-0.587729924925694,0.34220613423527857,0.08589271479495986,-1.25845394802684,0.082994098175452
-3,-0.299440421876237,0.2676770483053459,0.26328391649485583,-0.824087436554715,0.22520659280224098
-2,-0.6286968762263856,0.29480293734832913,0.03295751655735773,-1.2065106334291107,-0.050883119023660495
0,0.1885505116575068,0.2408848899419624,0.43377914240082294,-0.28358387262873946,0.660684895943753
1,1.1759200656406656,0.30538966558596525,0.00011784988987216687,0.5773563210921737,1.7744838101891576
2,0.7795958761363968,0.3575766078334096,0.029241115469903503,0.07874572478291397,1.4804460274898796
3,0.23559557653196328,0.39569030942933675,0.551573480199348,-0.5399574299495368,1.0111485830134632
4,1.1324229187937402,0.4066785086753302,0.005359950478092548,0.33533304179009316,1.9295127957973874
5,1.651090212479199,0.5005700443013685,0.0009723060443873527,0.6699729256485167,2.6322074993098816
