event_time,coef,se,p_value,ci_low,ci_high
-5,-0.3001316790015801,0.31643659094962967,0.3428885247453315,-0.9203473972628543,0.3200840392596941
-4,0.2681869113520794,0.24610413126730676,0.27583235410970286,-0.21417718593184187,0.7505510086360007
-3,0.058251524752130135,0.21790625114569015,0.7892198718901656,-0.36884472749342256,0.48534777699768283
-2,0.16623073040922406,0.1436809569692074,0.24729549830492947,-0.11538394525042248,0.4478454060688706
0,-0.06139604963891587,0.2188595222143686,0.7790730579055588,-0.4903607131790783,0.36756861390124657
1,-0.1376434176021677,0.219748915649932,0.5310744029728501,-0.5683512922760343,0.293064457071699
2,-0.12091077579188425,0.26452664697423794,0.6476110018953338,-0.6393830038613906,0.3975614522776221
3,-0.07723148128748591,0.305048611394996,0.8001309602278812,-0.6751267596216781,0.5206637970467063
4,-0.720490953607984,0.3314512369392772,0.02972418125838553,-1.3701353780089671,-0.07084652920700074
5,-0.8409783189288117,0.3982108925327961,0.0346957308124187,-1.621471668293092,-0.06048496956453131
