policy_bundle_index,n_states,states
1,4,Alabama;Georgia;Indiana;New Hampshire
2,11,Arizona;Florida;Idaho;Iowa;Kansas;Nebraska;North Dakota;South Carolina;South Dakota;Texas;Wyoming
3,11,Alaska;Kentucky;Louisiana;Maine;Missouri;Montana;Ohio;Oklahoma;Tennessee;Utah;West Virginia
