outcome,outcome_label,heterogeneity_dimension,main_post_coef,interaction_coef,interaction_se,interaction_p,nobs
firearm_suicide_rate_per_100k,Firearm Suicide,high_gun_ownership,1.0818422122607745,0.2640217138085909,0.3608598420358817,0.46438457279063083,1300.0
firearm_suicide_rate_per_100k,Firearm Suicide,high_rurality,0.6096867223903315,0.8701162140429719,0.28830034685531136,0.0025437387090854035,1300.0
firearm_suicide_rate_per_100k,Firearm Suicide,high_baseline_firearm_suicide,1.2342171024774293,0.04083123774400832,0.3084059833675342,0.8946723114766033,1300.0
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,high_gun_ownership,-0.06524911482496956,0.5489660373200623,0.16892597884186672,0.001155092968830871,1300.0
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,high_rurality,-0.029411468094138138,0.45480016131515033,0.23566520817507863,0.05362455351140159,1300.0
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,high_baseline_firearm_suicide,0.38640410574937223,-0.10365094755666643,0.19692570134065243,0.5986482073135124,1300.0
total_suicide_rate_per_100k,Total Suicide,high_gun_ownership,1.0165930974358066,0.812987751128653,0.4564810510339056,0.07491424041864292,1300.0
total_suicide_rate_per_100k,Total Suicide,high_rurality,0.5802752542961943,1.3249163753581228,0.4367185321073223,0.002414950329664251,1300.0
total_suicide_rate_per_100k,Total Suicide,high_baseline_firearm_suicide,1.6206212082268014,-0.06281970981265739,0.42502621786922107,0.8824990592046777,1300.0
firearm_homicide_rate_per_100k,Firearm Homicide,high_gun_ownership,-0.4191446349431439,0.5192944301795586,0.7570556863506237,0.492751234274568,1199.0
firearm_homicide_rate_per_100k,Firearm Homicide,high_rurality,-0.5384650155873486,0.6516811237875326,0.7342831911942235,0.3748062544865409,1199.0
firearm_homicide_rate_per_100k,Firearm Homicide,high_baseline_firearm_suicide,-0.5364558495566474,0.647539602933447,0.5259899181871691,0.21829014758685683,1199.0
total_firearm_rate_per_100k,Total Firearm Deaths,high_gun_ownership,0.7265604361365532,0.8935007908463675,0.9045853726401285,0.3232769476211117,1300.0
total_firearm_rate_per_100k,Total Firearm Deaths,high_rurality,0.11621336370165691,1.630248597026974,0.730205207044787,0.025576016406995698,1300.0
total_firearm_rate_per_100k,Total Firearm Deaths,high_baseline_firearm_suicide,0.7605252218778996,0.8118104963059438,0.546878004147896,0.13769081803853667,1300.0
